Cycle,Sector,RA,Dec,Roll,Start,End
9,108,66.2663,-25.1811,261.1568,2461290.5,2461318.5
9,109,86.382,-22.6679,249.8954,2461318.5,2461344.5
9,110,106.0743,-23.7944,238.6947,2461344.5,2461370.5
9,111,125.4703,-28.2718,228.4036,2461370.5,2461396.5
9,112,145.1712,-35.6981,219.7678,2461396.5,2461422.5
9,113,166.4824,-45.527,213.9682,2461422.5,2461449.5
9,114,192.2167,-56.6197,213.7675,2461449.5,2461478.5
9,115,219.6384,-16.0606,251.3437,2461478.5,2461507.5
9,116,288.1479,-23.3419,276.7904,2461507.5,2461535.5
9,117,251.5614,32.2829,347.6386,2461535.5,2461563.5
9,118,269.0677,30.5688,359.3655,2461563.5,2461589.5
9,119,274.188,61.9047,19.4458,2461589.5,2461615.5
9,120,278.1539,62.9604,40.3192,2461615.5,2461640.5
9,121,281.2282,64.6669,62.6836,2461640.5,2461667.5
10,122,282.6496,66.883,87.8161,2461667.5,2461695.5
10,123,281.2511,69.2487,117.0789,2461695.5,2461724.5
10,124,276.0718,71.0634,151.1253,2461724.5,2461753.5
10,125,268.2815,71.5269,187.8468,2461753.5,2461781.5
10,126,261.4947,70.4881,222.4301,2461781.5,2461808.5
10,127,257.9495,68.5486,252.3011,2461808.5,2461834.5
10,128,257.4803,66.3323,278.3712,2461834.5,2461860.5
10,129,259.3183,64.2563,302.2184,2461860.5,2461886.5
10,130,241.7325,34.5675,341.308,2461886.5,2461913.5
10,131,259.7373,31.0992,353.0738,2461913.5,2461941.5
10,132,278.235,30.9089,5.5586,2461941.5,2461970.5
10,133,236.4768,-18.8972,76.9834,2461970.5,2461999.5
10,134,314.2022,-16.8222,105.1903,2461999.5,2462027.5
